datum,vek_txt,covid_umrti
2021-04-25,15-39,1
2021-04-25,40-64,76
2021-04-25,65-74,133
2021-04-25,75-84,138
2021-04-25,85+,71
2021-05-02,0-14,1
2021-05-02,15-39,7
2021-05-02,40-64,59
2021-05-02,65-74,106
2021-05-02,75-84,114
2021-05-02,85+,46
2021-05-09,0-14,0
2021-05-09,15-39,2
2021-05-09,40-64,39
2021-05-09,65-74,100
2021-05-09,75-84,73
2021-05-09,85+,41
2021-05-16,0-14,0
2021-05-16,15-39,3
2021-05-16,40-64,26
2021-05-16,65-74,60
2021-05-16,75-84,45
2021-05-16,85+,33
2021-05-23,0-14,0
2021-05-23,15-39,0
2021-05-23,40-64,18
2021-05-23,65-74,31
2021-05-23,75-84,29
2021-05-23,85+,28
2021-05-30,0-14,0
2021-05-30,15-39,1
2021-05-30,40-64,3
2021-05-30,65-74,19
2021-05-30,75-84,21
2021-05-30,85+,13
2021-06-06,0-14,0
2021-06-06,15-39,1
2021-06-06,40-64,8
2021-06-06,65-74,6
2021-06-06,75-84,16
2021-06-06,85+,6
2021-06-13,0-14,0
2021-06-13,15-39,0
2021-06-13,40-64,4
2021-06-13,65-74,8
2021-06-13,75-84,9
2021-06-13,85+,6
2021-06-20,0-14,0
2021-06-20,15-39,0
2021-06-20,40-64,4
2021-06-20,65-74,3
2021-06-20,75-84,6
2021-06-20,85+,0
2021-06-27,0-14,0
2021-06-27,15-39,0
2021-06-27,40-64,1
2021-06-27,65-74,2
2021-06-27,75-84,3
2021-06-27,85+,5
2021-07-04,0-14,0
2021-07-04,15-39,0
2021-07-04,40-64,2
2021-07-04,65-74,2
2021-07-04,75-84,2
2021-07-04,85+,1
2021-07-11,0-14,0
2021-07-11,15-39,0
2021-07-11,40-64,0
2021-07-11,65-74,2
2021-07-11,75-84,1
2021-07-11,85+,0
2021-07-18,0-14,0
2021-07-18,15-39,0
2021-07-18,40-64,1
2021-07-18,65-74,1
2021-07-18,75-84,1
2021-07-18,85+,0
2021-07-25,0-14,0
2021-07-25,15-39,0
2021-07-25,40-64,0
2021-07-25,65-74,1
2021-07-25,75-84,0
2021-07-25,85+,2
2021-08-01,0-14,0
2021-08-01,15-39,0
2021-08-01,40-64,1
2021-08-01,65-74,0
2021-08-01,75-84,2
2021-08-01,85+,1
2021-08-08,0-14,0
2021-08-08,15-39,0
2021-08-08,40-64,1
2021-08-08,65-74,2
2021-08-08,75-84,1
2021-08-08,85+,0
2021-08-15,0-14,0
2021-08-15,15-39,0
2021-08-15,40-64,1
2021-08-15,65-74,1
2021-08-15,75-84,2
2021-08-15,85+,1
2021-08-22,0-14,0
2021-08-22,15-39,1
2021-08-22,40-64,2
2021-08-22,65-74,2
2021-08-22,75-84,1
2021-08-22,85+,3
2021-08-29,0-14,0
2021-08-29,15-39,0
2021-08-29,40-64,0
2021-08-29,65-74,3
2021-08-29,75-84,1
2021-08-29,85+,4
2021-09-05,0-14,0
2021-09-05,15-39,0
2021-09-05,40-64,0
2021-09-05,65-74,0
2021-09-05,75-84,1
2021-09-05,85+,1
2021-09-12,0-14,0
2021-09-12,15-39,0
2021-09-12,40-64,0
2021-09-12,65-74,2
2021-09-12,75-84,3
2021-09-12,85+,1
2021-09-19,0-14,0
2021-09-19,15-39,0
2021-09-19,40-64,2
2021-09-19,65-74,7
2021-09-19,75-84,2
2021-09-19,85+,4
2021-09-26,0-14,0
2021-09-26,15-39,0
2021-09-26,40-64,1
2021-09-26,65-74,4
2021-09-26,75-84,4
2021-09-26,85+,4
2021-10-03,0-14,0
2021-10-03,15-39,0
2021-10-03,40-64,4
2021-10-03,65-74,1
2021-10-03,75-84,4
2021-10-03,85+,6
2021-10-10,0-14,0
2021-10-10,15-39,0
2021-10-10,40-64,2
2021-10-10,65-74,13
2021-10-10,75-84,6
2021-10-10,85+,5
2021-10-17,0-14,0
2021-10-17,15-39,1
